Threshold,GP_Method_AP,noImageGP_Method_AP,GP_Better,Pair
0.5,0.03879310344827586,0.0054894784995425435,True,nuclei_figure_1
0.55,0.02553191489361702,0.004340872743888508,True,nuclei_figure_1
0.6,0.016877637130801686,0.003194888178913738,True,nuclei_figure_1
0.65,0.008368200836820083,0.0020515158422612263,True,nuclei_figure_1
0.7,0.0013850415512465374,0.0018231540565177757,False,nuclei_figure_1
0.75,0.0013850415512465374,0.0011386927806877705,True,nuclei_figure_1
0.8,0.0,0.0009107468123861566,False,nuclei_figure_1
0.5,0.047058823529411764,0.16363636363636364,False,nuclei_figure_2
0.55,0.03488372093023256,0.13777777777777778,False,nuclei_figure_2
0.6,0.03488372093023256,0.10344827586206896,False,nuclei_figure_2
0.65,0.03488372093023256,0.06666666666666667,False,nuclei_figure_2
0.7,0.022988505747126436,0.06666666666666667,False,nuclei_figure_2
0.75,0.011363636363636364,0.03643724696356275,False,nuclei_figure_2
0.8,0.0,0.0199203187250996,False,nuclei_figure_2
0.5,0.0477326968973747,0.006918238993710692,True,nuclei_figure_3
0.55,0.03294117647058824,0.00439146800501882,True,nuclei_figure_3
0.6,0.018561484918793503,0.003761755485893417,True,nuclei_figure_3
0.65,0.006880733944954129,0.003132832080200501,True,nuclei_figure_3
0.7,0.00228310502283105,0.0018773466833541927,True,nuclei_figure_3
0.75,0.00228310502283105,0.000625,True,nuclei_figure_3
0.8,0.0,0.000625,False,nuclei_figure_3
0.5,0.25092936802973975,0.001289305923644438,True,nuclei_figure_4
0.55,0.2060931899641577,0.0008233398961875783,True,nuclei_figure_4
0.6,0.1786339754816112,0.0006084248953151283,True,nuclei_figure_4
0.65,0.15437392795883362,0.0003757044458359424,True,nuclei_figure_4
0.7,0.1273031825795645,0.000125203455615375,True,nuclei_figure_4
0.75,0.09253246753246754,0.00010731532820604543,True,nuclei_figure_4
0.8,0.0631911532385466,3.576921701183961e-05,True,nuclei_figure_4
0.5,0.006042296072507553,0.0,True,nuclei_figure_5
0.55,0.0030120481927710845,0.0,True,nuclei_figure_5
0.6,0.0030120481927710845,0.0,True,nuclei_figure_5
0.65,0.0,0.0,False,nuclei_figure_5
0.7,0.0,0.0,False,nuclei_figure_5
0.75,0.0,0.0,False,nuclei_figure_5
0.8,0.0,0.0,False,nuclei_figure_5
